,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
0,País,0,País,0,País,6.408.172,36.835,1.575.168,2.419.639,1.785.285,451.532,100.036,38.643,1.034
15,Arica y Parinacota,151,Arica,15101,Arica,74.708,238,16.613,25.332,22.558,6.835,2.056,1.072,4
15,Arica y Parinacota,151,Arica,15102,Camarones,427,3,203,128,68,16,6,3,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,583,10,279,169,83,26,10,6,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,217,13,137,49,14,4,0,0,0
1,Tarapacá,11,Iquique,1101,Iquique,66.444,781,20.181,19.907,17.671,5.220,1.648,1.031,5
1,Tarapacá,11,Iquique,1107,Alto Hospicio,40.506,178,9.164,15.032,11.797,3.058,882,393,2
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5.398,78,1.740,1.738,1.182,453,125,82,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,479,2,160,203,75,26,8,5,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,241,0,122,59,30,21,6,3,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,1.009,6,372,340,193,72,15,11,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,2.025,4,521,705,533,172,56,34,0
2,Antofagasta,21,Antofagasta,2101,Antofagasta,126.861,556,29.618,41.236,38.083,11.682,3.404,2.268,14
2,Antofagasta,21,Antofagasta,2102,Mejillones,4.358,24,947,1.473,1.404,327,104,79,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,446,5,124,157,81,49,19,9,2
2,Antofagasta,21,Antofagasta,2104,Taltal,3.987,14,901,1.345,1.166,403,105,52,1
2,Antofagasta,22,El Loa,2201,Calama,52.533,345,13.861,16.058,14.746,5.216,1.430,869,8
2,Antofagasta,22,El Loa,2202,Ollagüe,89,1,29,31,19,7,0,2,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3.690,124,1.444,1.149,654,214,53,50,2
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8.517,14,1.951,3.027,2.614,692,158,60,1
2,Antofagasta,23,Tocopilla,2302,María Elena,1.584,1,453,717,357,35,8,13,0
3,Atacama,31,Copiapó,3101,Copiapó,54.970,130,11.268,19.862,17.181,4.835,1.149,538,7
3,Atacama,31,Copiapó,3102,Caldera,6.775,16,1.469,2.530,1.875,654,152,78,1
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3.717,17,845,1.330,1.016,367,106,36,0
