,,,,,,,,,,
,,,,,,,,,,
"6. Número de viviendas particulares ocupadas con moradores presentes por cantidad de hogares, según comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas con 1 hogar,Viviendas con 2 hogares,Viviendas con 3 hogares,Viviendas con 4 o más hogares
0,País,0,País,0,País,6.408.172,6.254.479,127.917,20.256,5.520-
15,Arica y Parinacota,151,Arica,15101,Arica,74.708,71.180,2.742,593,193
15,Arica y Parinacota,151,Arica,15102,Camarones,427,418,8,1,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,583,552,27,3,1
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,217,209,7,1,0
1,Tarapacá,11,Iquique,1101,Iquique,66.444,63.933,1.936,427,148
1,Tarapacá,11,Iquique,1107,Alto Hospicio,40.506,39.189,1.066,196,55
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5.398,5.244,126,15,13
1,Tarapacá,14,Del Tamarugal,1402,Camiña,479,470,8,1,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,241,238,2,0,1
1,Tarapacá,14,Del Tamarugal,1404,Huara,1.009,984,23,2,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,2.025,1.922,72,19,12
2,Antofagasta,21,Antofagasta,2101,Antofagasta,126.861,121.487,4.121,924,329
2,Antofagasta,21,Antofagasta,2102,Mejillones,4.358,4.111,175,41,31
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,446,422,16,6,2
2,Antofagasta,21,Antofagasta,2104,Taltal,3.987,3.889,86,11,1
2,Antofagasta,22,El Loa,2201,Calama,52.533,50.159,1.720,431,223
2,Antofagasta,22,El Loa,2202,Ollagüe,89,78,9,2,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3.690,3.552,111,14,13
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8.517,8.363,136,17,1
2,Antofagasta,23,Tocopilla,2302,María Elena,1.584,1.547,28,6,3
