,,,,,,,,,,,
,,,,,,,,,,,
"2. Población censada por tramo de edad e índice de envejecimiento, según sexo y comuna.",,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Sexo,Población censada,0-14,15-64,65 años o más,Índice de envejecimiento
0,País,0,País,0,País,Total País,18.480.432,3.274.648,12.618.546,2.587.238,"79,0"
0,País,0,País,0,País,Hombre,8.967.033,1.668.530,6.171.457,1.127.046,"67,5"
0,País,0,País,0,País,Mujer,9.513.399,1.606.118,6.447.089,1.460.192,"90,9"
15,Arica y Parinacota,151,Arica,15101,Arica,Total Comuna,241.653,47.551,163.466,30.636,"64,4"
15,Arica y Parinacota,151,Arica,15101,Arica,Hombre,118.844,24.128,80.967,13.749,"57,0"
15,Arica y Parinacota,151,Arica,15101,Arica,Mujer,122.809,23.423,82.499,16.887,"72,1"
15,Arica y Parinacota,151,Arica,15102,Camarones,Total Comuna,861,106,527,228,"215,1"
15,Arica y Parinacota,151,Arica,15102,Camarones,Hombre,430,54,265,111,"205,6"
15,Arica y Parinacota,151,Arica,15102,Camarones,Mujer,431,52,262,117,"225,0"
15,Arica y Parinacota,152,Parinacota,15201,Putre,Total Comuna,1.547,250,1.041,256,"102,4"
15,Arica y Parinacota,152,Parinacota,15201,Putre,Hombre,846,134,582,130,"97,0"
15,Arica y Parinacota,152,Parinacota,15201,Putre,Mujer,701,116,459,126,"108,6"
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Total Comuna,508,123,269,116,"94,3"
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Hombre,261,60,142,59,"98,3"
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Mujer,247,63,127,57,"90,5"
1,Tarapacá,11,Iquique,1101,Iquique,Total Comuna,199.587,37.595,137.764,24.228,"64,4"
1,Tarapacá,11,Iquique,1101,Iquique,Hombre,98.413,19.099,68.437,10.877,"57,0"
1,Tarapacá,11,Iquique,1101,Iquique,Mujer,101.174,18.496,69.327,13.351,"72,2"
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Total Comuna,142.086,36.164,98.216,7.706,"21,3"
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Hombre,70.649,18.403,48.624,3.622,"19,7"
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Mujer,71.437,17.761,49.592,4.084,"23,0"
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Total Comuna,16.878,4.053,11.116,1.709,"42,2"
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Hombre,8.667,2.010,5.770,887,"44,1"
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Mujer,8.211,2.043,5.346,822,"40,2"
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Total Comuna,1.335,335,764,236,"70,4"
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Hombre,648,175,345,128,"73,1"
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Mujer,687,160,419,108,"67,5"
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Total Comuna,790,194,463,133,"68,6"
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Hombre,389,91,228,70,"76,9"
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Mujer,401,103,235,63,"61,2"
1,Tarapacá,14,Del Tamarugal,1404,Huara,Total Comuna,2.858,698,1.719,441,"63,2"
1,Tarapacá,14,Del Tamarugal,1404,Huara,Hombre,1.484,364,886,234,"64,3"
1,Tarapacá,14,Del Tamarugal,1404,Huara,Mujer,1.374,334,833,207,"62,0"
1,Tarapacá,14,Del Tamarugal,1405,Pica,Total Comuna,6.272,1.493,3.904,875,"58,6"
1,Tarapacá,14,Del Tamarugal,1405,Pica,Hombre,3.093,774,1.887,432,"55,8"
1,Tarapacá,14,Del Tamarugal,1405,Pica,Mujer,3.179,719,2.017,443,"61,6"
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Total Comuna,401.096,75.810,286.227,39.059,"51,5"
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Hombre,197.979,38.748,142.457,16.774,"43,3"
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Mujer,203.117,37.062,143.770,22.285,"60,1"
2,Antofagasta,21,Antofagasta,2102,Mejillones,Total Comuna,14.084,3.346,9.625,1.113,"33,3"
2,Antofagasta,21,Antofagasta,2102,Mejillones,Hombre,7.021,1.710,4.761,550,"32,2"
2,Antofagasta,21,Antofagasta,2102,Mejillones,Mujer,7.063,1.636,4.864,563,"34,4"
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Total Comuna,1.472,365,1.005,102,"27,9"
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Hombre,707,197,468,42,"21,3"
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Mujer,765,168,537,60,"35,7"
2,Antofagasta,21,Antofagasta,2104,Taltal,Total Comuna,12.097,2.403,8.122,1.572,"65,4"
2,Antofagasta,21,Antofagasta,2104,Taltal,Hombre,6.063,1.227,4.067,769,"62,7"
2,Antofagasta,21,Antofagasta,2104,Taltal,Mujer,6.034,1.176,4.055,803,"68,3"
2,Antofagasta,22,El Loa,2201,Calama,Total Comuna,166.334,34.790,116.500,15.044,"43,2"
2,Antofagasta,22,El Loa,2201,Calama,Hombre,82.269,17.745,57.714,6.810,"38,4"
2,Antofagasta,22,El Loa,2201,Calama,Mujer,84.065,17.045,58.786,8.234,"48,3"
2,Antofagasta,22,El Loa,2202,Ollagüe,Total Comuna,256,48,173,35,"72,9"
2,Antofagasta,22,El Loa,2202,Ollagüe,Hombre,122,22,87,13,"59,1"
