,,,,,,,,,,
,,,,,,,,,,
"4. Población censada por sexo y razón hombre-mujer, según grupos de edad quinquenal y comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Grupos de edad,Población censada,Hombres,Mujeres,Razón hombre-mujer
0,País,0,País,0,País,Total País,18.480.432,8.967.033,9.513.399,"94,3"
0,País,0,País,0,País,0 a 4,870.693,443.028,427.665,"103,6"
0,País,0,País,0,País,5 a 9,1.147.515,584.218,563.297,"103,7"
0,País,0,País,0,País,10 a 14,1.256.440,641.284,615.156,"104,2"
0,País,0,País,0,País,15 a 19,1.219.347,625.986,593.361,"105,5"
0,País,0,País,0,País,20 a 24,1.273.193,646.831,626.362,"103,3"
0,País,0,País,0,País,25 a 29,1.383.669,693.829,689.840,"100,6"
0,País,0,País,0,País,30 a 34,1.527.489,758.913,768.576,"98,7"
0,País,0,País,0,País,35 a 39,1.408.198,692.292,715.906,"96,7"
0,País,0,País,0,País,40 a 44,1.270.493,615.866,654.627,"94,1"
0,País,0,País,0,País,45 a 49,1.151.776,549.508,602.268,"91,2"
0,País,0,País,0,País,50 a 54,1.173.352,556.491,616.861,"90,2"
0,País,0,País,0,País,55 a 59,1.133.239,530.699,602.540,"88,1"
0,País,0,País,0,País,60 a 64,1.077.790,501.042,576.748,"86,9"
0,País,0,País,0,País,65 a 69,870.801,403.425,467.376,"86,3"
0,País,0,País,0,País,70 a 74,646.241,292.622,353.619,"82,8"
0,País,0,País,0,País,75 a 79,477.186,208.574,268.612,"77,6"
0,País,0,País,0,País,80 a 84,317.424,129.155,188.269,"68,6"
0,País,0,País,0,País,85 o más,275.586,93.270,182.316,"51,2"
15,Arica y Parinacota,151,Arica,15101,Arica,Total Comuna,241.653,118.844,122.809,"96,8"
15,Arica y Parinacota,151,Arica,15101,Arica,0 a 4,12.671,6.321,6.350,"99,5"
15,Arica y Parinacota,151,Arica,15101,Arica,5 a 9,16.246,8.264,7.982,"103,5"
15,Arica y Parinacota,151,Arica,15101,Arica,10 a 14,18.634,9.543,9.091,"105,0"
15,Arica y Parinacota,151,Arica,15101,Arica,15 a 19,17.062,8.705,8.357,"104,2"
15,Arica y Parinacota,151,Arica,15101,Arica,20 a 24,17.872,9.194,8.678,"105,9"
15,Arica y Parinacota,151,Arica,15101,Arica,25 a 29,19.202,9.839,9.363,"105,1"
15,Arica y Parinacota,151,Arica,15101,Arica,30 a 34,19.568,9.999,9.569,"104,5"
15,Arica y Parinacota,151,Arica,15101,Arica,35 a 39,18.784,9.526,9.258,"102,9"
15,Arica y Parinacota,151,Arica,15101,Arica,40 a 44,16.548,8.029,8.519,"94,2"
