,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"8. Situación de tenencia de la vivienda del hogar, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Hogares censados,Propia pagada,Propia pagándose,Arrendada con contrato,Arrendada sin contrato,Cedida por trabajo o servicio,Cedida por familiar u otro,Usufructo: solo uso y goce,Ocupada de hecho,Propiedad en sucesión y litigio,Tenencia de la vivienda no declarada
0,País,0,País,0,País,6.596.527,3.120.238,910.247,1.229.328,498.871,90.697,511.118,61.019,57.788,116.125,1.096
15,Arica y Parinacota,151,Arica,15101,Arica,79.338,36.587,5.827,12.939,7.934,3.181,8.323,1.914,1.302,1.319,12
15,Arica y Parinacota,151,Arica,15102,Camarones,437,267,2,6,16,38,42,23,10,33,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,619,210,5,67,103,76,114,7,6,31,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,226,111,5,4,13,26,61,2,1,3,0
1,Tarapacá,11,Iquique,1101,Iquique,69.800,20.629,8.809,18.860,11.958,1.790,4.997,760,1.279,710,8
1,Tarapacá,11,Iquique,1107,Alto Hospicio,42.150,20.142,3.375,5.760,3.918,315,2.548,836,5.025,221,10
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5.609,2.748,141,494,791,446,519,90,324,56,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,489,319,3,14,46,16,80,5,4,2,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,247,126,2,5,39,35,35,1,1,3,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,1.036,573,6,78,108,72,146,5,37,10,1
1,Tarapacá,14,Del Tamarugal,1405,Pica,2.180,959,68,319,380,116,285,14,14,25,0
2,Antofagasta,21,Antofagasta,2101,Antofagasta,134.059,44.184,20.737,30.777,15.367,1.793,10.112,2.340,7.359,1.367,23
2,Antofagasta,21,Antofagasta,2102,Mejillones,4.740,2.260,306,493,927,120,286,70,236,42,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,481,233,2,46,97,48,26,8,21,0,0
2,Antofagasta,21,Antofagasta,2104,Taltal,4.100,2.844,65,288,251,50,346,59,43,154,0
2,Antofagasta,22,El Loa,2201,Calama,56.045,21.105,5.487,9.712,11.820,803,4.814,518,1.224,548,14
2,Antofagasta,22,El Loa,2202,Ollagüe,102,17,3,7,18,12,27,15,3,0,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3.895,1.288,63,320,1.126,132,425,242,212,87,0
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8.690,4.865,236,960,930,117,1.015,90,361,115,1
2,Antofagasta,23,Tocopilla,2302,María Elena,1.635,96,2,667,102,672,47,29,13,6,1
3,Atacama,31,Copiapó,3101,Copiapó,56.984,28.899,7.727,9.214,3.879,748,4.113,458,1.353,583,10
3,Atacama,31,Copiapó,3102,Caldera,6.922,4.529,275,774,476,130,478,69,105,86,0
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3.857,2.479,33,184,226,255,425,75,137,43,0
3,Atacama,32,Chañaral,3201,Chañaral,4.383,2.894,56,305,337,131,485,25,117,32,1
3,Atacama,32,Chañaral,3202,Diego de Almagro,4.157,1.766,37,566,212,1.110,257,75,76,56,2
3,Atacama,33,Huasco,3301,Vallenar,18.630,10.366,1.971,1.771,1.172,238,1.943,284,464,418,3
3,Atacama,33,Huasco,3302,Alto del Carmen,1.919,1.278,11,64,108,79,198,26,24,130,1
3,Atacama,33,Huasco,3303,Freirina,2.733,2.057,20,86,130,37,264,30,54,54,1
3,Atacama,33,Huasco,3304,Huasco,3.472,2.351,129,222,229,51,324,19,91,55,1
