,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
0,País,0,País,0,País,7.642.716,5.397.387,539.897,915.728,664.242,1.967,51.305,27.490,1.557,38.823,4.320
15,Arica y Parinacota,151,Arica,15101,Arica,84.989,60.367,3.150,1.741,17.220,32,223,1.513,62,545,136
15,Arica y Parinacota,151,Arica,15102,Camarones,1.035,814,4,0,0,19,0,154,2,42,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,1.853,1.576,20,0,0,147,3,51,1,53,2
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,624,452,0,0,0,152,0,3,0,16,1
1,Tarapacá,11,Iquique,1101,Iquique,75.372,39.811,1.968,18.710,8.173,29,5.107,663,37,828,46
1,Tarapacá,11,Iquique,1107,Alto Hospicio,46.573,33.345,3.017,1.538,7.060,10,216,1.175,22,175,15
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,11.604,10.754,519,1,3,17,89,142,12,56,11
1,Tarapacá,14,Del Tamarugal,1402,Camiña,1.178,959,0,1,10,14,1,126,0,67,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,2.112,2.007,3,1,0,38,0,0,0,63,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,3.215,2.913,9,1,1,17,3,147,2,119,3
1,Tarapacá,14,Del Tamarugal,1405,Pica,3.199,2.887,230,3,0,9,4,19,0,44,3
2,Antofagasta,21,Antofagasta,2101,Antofagasta,139.824,85.231,11.543,23.635,16.289,50,691,1.274,95,908,108
2,Antofagasta,21,Antofagasta,2102,Mejillones,5.800,3.964,76,113,1.375,3,36,88,6,128,11
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,734,685,5,1,2,0,7,13,0,15,6
2,Antofagasta,21,Antofagasta,2104,Taltal,5.316,4.760,12,3,219,0,5,266,10,35,6
2,Antofagasta,22,El Loa,2201,Calama,60.835,51.146,3.880,2.087,1.968,61,1.037,91,10,514,41
2,Antofagasta,22,El Loa,2202,Ollagüe,438,433,0,0,0,3,1,0,0,1,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,5.071,4.508,195,1,7,64,87,25,1,160,23
2,Antofagasta,23,Tocopilla,2301,Tocopilla,11.884,9.988,105,14,947,2,55,45,5,709,14
2,Antofagasta,23,Tocopilla,2302,María Elena,1.927,1.868,1,0,1,0,2,3,1,49,2
3,Atacama,31,Copiapó,3101,Copiapó,64.409,50.099,3.387,3.044,6.983,14,155,439,14,233,41
3,Atacama,31,Copiapó,3102,Caldera,18.105,17.127,555,112,163,4,9,86,4,39,6
3,Atacama,31,Copiapó,3103,Tierra Amarilla,4.637,4.328,187,0,1,1,4,50,0,56,10
3,Atacama,32,Chañaral,3201,Chañaral,7.237,7.031,29,1,22,3,3,76,3,61,8
3,Atacama,32,Chañaral,3202,Diego de Almagro,6.808,6.134,49,1,482,8,17,80,2,25,10
3,Atacama,33,Huasco,3301,Vallenar,23.410,21.371,453,6,1.129,7,73,171,15,167,18
3,Atacama,33,Huasco,3302,Alto del Carmen,3.164,3.032,29,0,0,8,6,64,0,22,3
3,Atacama,33,Huasco,3303,Freirina,4.397,4.121,15,1,1,1,1,149,5,101,2
3,Atacama,33,Huasco,3304,Huasco,7.364,6.775,79,94,213,1,7,169,3,17,6
4,Coquimbo,41,Elqui,4101,La Serena,109.497,70.688,8.678,13.509,15.740,12,105,319,23,339,84
4,Coquimbo,41,Elqui,4102,Coquimbo,113.105,91.093,5.348,9.477,6.214,6,224,233,43,416,51
4,Coquimbo,41,Elqui,4103,Andacollo,5.128,4.254,81,2,58,0,1,19,10,701,2
4,Coquimbo,41,Elqui,4104,La Higuera,3.214,3.093,82,1,1,0,2,28,1,6,0
4,Coquimbo,41,Elqui,4105,Paiguano,2.890,2.412,451,0,2,1,5,7,4,6,2
4,Coquimbo,41,Elqui,4106,Vicuña,12.041,11.275,529,43,61,0,11,64,2,50,6
4,Coquimbo,42,Choapa,4201,Illapel,14.203,13.335,563,3,164,7,12,61,0,51,7
4,Coquimbo,42,Choapa,4202,Canela,5.779,5.517,170,0,0,0,0,64,1,26,1
4,Coquimbo,42,Choapa,4203,Los Vilos,14.211,12.351,1.719,44,2,0,11,27,4,49,4
4,Coquimbo,42,Choapa,4204,Salamanca,12.142,11.741,136,5,119,2,4,56,2,70,7
4,Coquimbo,43,Limarí,4301,Ovalle,49.654,43.347,2.336,282,3.092,6,119,175,11,269,17
4,Coquimbo,43,Limarí,4302,Combarbalá,7.647,7.359,5,1,2,0,4,89,1,183,3
4,Coquimbo,43,Limarí,4303,Monte Patria,14.470,14.084,117,3,1,2,5,107,2,144,5
4,Coquimbo,43,Limarí,4304,Punitaqui,5.891,5.662,80,1,0,0,3,46,1,96,2
4,Coquimbo,43,Limarí,4305,Río Hurtado,2.913,2.870,6,0,0,0,1,18,0,16,2
5,Valparaíso,51,Valparaíso,5101,Valparaíso,132.071,82.315,8.680,15.732,23.166,28,604,871,25,565,85
5,Valparaíso,51,Valparaíso,5102,Casablanca,13.978,9.593,2.743,239,1.291,2,18,21,6,56,9
5,Valparaíso,51,Valparaíso,5103,Concón,26.950,10.544,1.743,12.336,2.109,2,28,72,1,107,8
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,472,453,11,0,1,0,0,0,0,5,2
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,21.145,14.551,4.691,1.185,607,2,4,34,4,59,8
5,Valparaíso,51,Valparaíso,5107,Quintero,19.663,14.012,3.353,202,1.911,4,25,60,4,82,10
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,163.496,74.550,5.689,52.567,27.840,23,280,1.769,86,561,131
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,3.111,2.877,202,3,2,0,2,4,0,17,4
5,Valparaíso,53,Los Andes,5301,Los Andes,26.034,20.035,1.163,562,4.037,3,89,60,5,56,24
5,Valparaíso,53,Los Andes,5302,Calle Larga,6.203,5.285,859,3,0,1,28,7,0,18,2
5,Valparaíso,53,Los Andes,5303,Rinconada,4.728,3.735,949,2,1,0,1,18,0,19,3
